Region,States,22-32-2014,23-12-2014,24-12-2014,25-12-2014,26-12-2014,27-12-2014,28-12-2014
,Punjab,95.2,98.4,98.8,95.7,96.1,94.0,86.2
,Haryana,108.0,115.3,117.1,118.2,119.3,120.2,116.1
,Rajasthan,"200,5",204.2,204.8,210.9,203.7,208.9,208.9
,Delhi,67.8,69.7,70.4,71.1,75.1,74.7,69.5
NR,UP,220.0,218.1,223.5,228.6,235.0,252.4,239.0
,Uttarakhand,34.2,35.3,34.8,35.2,34.4,34.4,34.2
,HP,24.8,25.2,25.6,25.2,26.1,25.6,24.0
,J&K,42.8,44.3,42.4,40.8,41.6,43.5,42.8
,Chandigarh,4.2,4.0,4.0,4.0,4.3,4.1,3.6
,Chhattisgarh,66.6,66.3,68.4,70.6,69.5,66.6,67.9
,Gujarat,254.9,257.2,255.7,257.1,259.0,257.2,247.8
,MP,177.8,183.0,188.0,"191,7",192.2,192.2,190.7
WR,Maharashtra,370.0,373.0,372.1,363.8,366.2,363.0,352.1
,Goa,7.7,8.0,7.6,6.9,7.6,7.2,6.7
,DD,5.8,5.9,5.9,5.8,5.8,5.8,5.6
,DNH,15.1,15.2,15.2,15.2,15.0,15.0,15.1
,Essar steel,8.6,B.5,8.9,7.3,7.2,6.7,7.1
,Andhra Pradesh,"132,5",128.9,125.0,130.8,129.3,127.6,129.8
,Telangana,127.6,129.8,132.2,132.1,130.5,130.5,128.4
SR,Karnataka,168.0,175.2,175.1,172.3,175.6,"173,4",164.0
,Kerala,61.1,62.1,62.1,56.5,59.2,58.0,54.2
,Tamil Nado,228.5,230.3,238.9,237.2,236.3,236.6,227.2
,Pondy,5.5,5.8,5.8,5.5,5.5,5.7,5.0
,Bihar,51.5,50.4,51.3,54.5,53.7,53.3,52.7
,DVC,52.8,54.1,51.6,53.0,52.0,"52,3",51.6
ER,Jharkhand,22.4,"22,2",22.8,22.8,22.9,22.0,21.3
,Odisha,73.6,68.7,"52,4",66.1,62.7,62.8,63.5
,West Bengal,104.9,106.7,110.7,106.5,107.0,103.0,93.3
,Sikkim,2.0,1.7,"1,6",1.5,1.6,1.5,1.5
,Arunachal Pradesh,1.8,1.9,1.9,1.9,1.8,1.8,1.8
,Assam,20.5,21.5,22.0,22.0,19.6,21.2,21.5
,Manipur,1.9,2.1,2.2,2.2,2.0,2.4,2.5
NER,Meghalaya,5.9,5.3,5.4,5.4,5.5,5.5,5.6
,Mizoram,1.2,1.3,1.4,1.2,1.2,1.3,1.2
,Nagaland,2.4,2.4,2.2,"2,2",2.2,2.4,2.3
,Tripura ALL INDIA TOTAL,2.5,2.6,2.6,2.7,2.6,2.8,2.0
,,2770.7,2804.6,2820.3,"2824,7",2829.3,2835.7,2746.6
